,cue,R1,frec,frec_cue,ratio,frec_R1,cue_norm,l_cue,l_r1
4024,decompose,rot,29,99,0.2230769230769231,130,0.29292929292929293,9,3
4031,aghast,shocked,29,90,0.3258426966292135,89,0.32222222222222224,6,7
4032,surpass,exceed,29,98,0.7073170731707317,41,0.29591836734693877,7,6
4033,dyke,lesbian,29,93,0.42028985507246375,69,0.3118279569892473,4,7
4035,yelling,shouting,29,100,0.5370370370370371,54,0.29,7,8
4038,thimble,sewing,29,92,0.15104166666666666,192,0.31521739130434784,7,6
4039,curse,swear,29,100,0.15934065934065933,182,0.29,5,5
4042,president,obama,29,100,0.2248062015503876,129,0.29,9,5
4045,tasteless,bland,29,100,0.32954545454545453,88,0.29,9,5
4048,phantom,opera,29,97,0.23387096774193547,124,0.29896907216494845,7,5
4050,underage,drinking,29,100,0.24166666666666667,120,0.29,8,8
4051,feeling,emotion,29,99,0.13679245283018868,212,0.29292929292929293,7,7
4054,pessimist,optimist,29,100,0.7073170731707317,41,0.29,9,8
4058,sabbath,sunday,28,97,0.18181818181818182,154,0.28865979381443296,7,6
4061,myth,legend,28,100,0.35,80,0.28,4,6
4065,none,zero,28,98,0.22950819672131148,122,0.2857142857142857,4,4
4067,credible,believable,28,99,0.56,50,0.2828282828282828,8,10
4074,tests,exams,28,100,0.417910447761194,67,0.28,5,5
4075,mumps,measles,28,96,0.5283018867924528,53,0.2916666666666667,5,7
4076,vermin,rat,28,98,0.11244979919678715,249,0.2857142857142857,6,3
4078,anytime,whenever,28,98,0.36363636363636365,77,0.2857142857142857,7,8
4083,playboy,bunny,28,99,0.16470588235294117,170,0.2828282828282828,7,5
4086,rant,rave,28,94,0.7368421052631579,38,0.2978723404255319,4,4
4087,summit,peak,28,96,0.17391304347826086,161,0.2916666666666667,6,4
4093,turkey,thanksgiving,28,100,0.21705426356589147,129,0.28,6,12
4094,given,taken,28,96,0.1917808219178082,146,0.2916666666666667,5,5
4097,larceny,theft,28,73,0.14659685863874344,191,0.3835616438356164,7,5
4098,genes,dna,28,98,0.1206896551724138,232,0.2857142857142857,5,3
4099,zero,none,28,92,0.13023255813953488,215,0.30434782608695654,4,4
4101,wiring,electrical,28,98,0.3373493975903614,83,0.2857142857142857,6,10
4102,checking,account,28,100,0.3218390804597701,87,0.28,8,7
4103,niceness,kindness,28,98,0.11764705882352941,238,0.2857142857142857,8,8
4105,asylum,insane,28,99,0.14659685863874344,191,0.2828282828282828,6,6
4107,tupperware,plastic,28,97,0.11244979919678715,249,0.28865979381443296,10,7
4108,mosaic,tiles,28,100,0.5384615384615384,52,0.28,6,5
4111,unseen,invisible,28,98,0.3111111111111111,90,0.2857142857142857,6,9
